property,version,outcome
bor-tokens,v1,P!
bor-tokens,v2,P!
bor-tokens,v3,P!
bor-tokens,v4,P!
bor-tokens,v7,P!
bor-tokens,v8,P!
bor-xr-eq,v1,P!
bor-xr-eq,v2,UNK
bor-xr-eq,v3,P!
bor-xr-eq,v4,P!
bor-xr-eq,v7,P!
bor-xr-eq,v8,P!
credits-zero,v1,P!
credits-zero,v2,P!
credits-zero,v3,P!
credits-zero,v4,P!
credits-zero,v7,P!
credits-zero,v8,P!
credits-zero-notrunc,v1,UNK
credits-zero-notrunc,v2,UNK
credits-zero-notrunc,v3,UNK
credits-zero-notrunc,v4,N!
credits-zero-notrunc,v7,UNK
credits-zero-notrunc,v8,UNK
dep-gain-eq,v1,N!
dep-gain-eq,v2,N!
dep-gain-eq-notrunc,v1,N!
dep-gain-eq-notrunc,v2,N!
dep-tokens,v1,N!
dep-tokens,v2,N!
dep-tokens,v3,N!
dep-tokens,v4,N!
dep-tokens,v7,N!
dep-tokens,v8,N!
expected-interest,v1,P!
expected-interest,v2,UNK
expected-interest,v3,UNK
expected-interest,v4,P!
expected-interest,v7,P!
expected-interest,v8,P!
rdm-tokens,v1,N!
rdm-tokens,v2,N!
rdm-tokens,v3,N!
rdm-tokens,v4,N!
rdm-tokens,v7,N!
rdm-tokens,v8,N!
rpy-additivity,v1,P!
rpy-additivity,v2,P!
rpy-additivity,v3,P!
rpy-additivity,v4,P!
rpy-additivity,v7,P!
rpy-additivity,v8,P!
trace1,v1,P!
trace1,v2,P!
trace1,v3,P!
trace1,v4,P!
trace1,v7,P!
trace1,v8,P!
