property,version,outcome
fair-split-eq,v1,P!
fair-split-eq,v2,P!
fair-split-eq,v3,P!
fair-split-eq,v4,P!
fair-split-eq,v5,N!
fair-split-eq,v6,P!
fair-split-eq,v7,P!
fair-split-eq,v8,P!
fair-split-eq,v9,P!
fair-split-eq,v10,P!
fair-split-geq,v1,P!
fair-split-geq,v2,P!
fair-split-geq,v3,P!
fair-split-geq,v4,P!
fair-split-geq,v5,P!
fair-split-geq,v6,P!
fair-split-geq,v7,P!
fair-split-geq,v8,P!
fair-split-geq,v9,P!
fair-split-geq,v10,P!
non-zero-payees,v1,P!
non-zero-payees,v2,P!
non-zero-payees,v3,P!
non-zero-payees,v4,P!
non-zero-payees,v5,P!
non-zero-payees,v6,N!
non-zero-payees,v7,P!
non-zero-payees,v8,P!
non-zero-payees,v9,P!
non-zero-payees,v10,P!
positive-shares,v1,P!
positive-shares,v2,P!
positive-shares,v3,P!
positive-shares,v4,P!
positive-shares,v5,P!
positive-shares,v6,P!
positive-shares,v7,P!
positive-shares,v8,P!
positive-shares,v9,N!
positive-shares,v10,P!
releasable-leq-balance,v1,P!
releasable-leq-balance,v2,P!
releasable-leq-balance,v3,P!
releasable-leq-balance,v4,P!
releasable-leq-balance,v5,P!
releasable-leq-balance,v6,P!
releasable-leq-balance,v7,P!
releasable-leq-balance,v8,P!
releasable-leq-balance,v9,P!
releasable-leq-balance,v10,P!
releasable-sum-balance,v1,N!
releasable-sum-balance,v2,N!
releasable-sum-balance,v3,N!
releasable-sum-balance,v4,N!
releasable-sum-balance,v5,N!
releasable-sum-balance,v6,N!
releasable-sum-balance,v7,N!
releasable-sum-balance,v8,N!
releasable-sum-balance,v9,N!
releasable-sum-balance,v10,N!
release-not-revert,v1,P!
release-not-revert,v2,P!
release-not-revert,v3,P!
release-not-revert,v4,P!
release-not-revert,v5,P!
release-not-revert,v6,P!
release-not-revert,v7,N!
release-not-revert,v8,P!
release-not-revert,v9,UNK
release-not-revert,v10,P!
